央视频道,#genre#
CCTV16,http://121.19.134.146:808/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://1.192.248.15:9901/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://111.225.114.31:808/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://116.233.34.25:7777/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://121.19.134.168:808/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://1.69.74.111:9902/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17军事,http://1.198.67.187:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
CCTVNEWS,http://119.142.76.36:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTVNEWS,http://183.24.48.6:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTVNEWS,http://123.138.22.30:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTVNEWS,http://113.57.20.158:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV少儿,http://119.163.228.205:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV少儿,http://119.163.63.188:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV少儿,http://119.163.57.184:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV少儿,http://123.138.22.30:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV怀旧剧场,http://121.19.134.52:808/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV教育,http://58.53.155.179:9901/tsfile/live/faacts/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV第一剧场,http://121.19.134.52:808/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV音乐,http://123.138.22.30:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV风云剧场,http://121.19.134.52:808/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV风云音乐,http://121.19.134.52:808/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
卫视频道,#genre#
BTV北京卫视,http://124.126.4.124:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
三沙卫视,http://1.192.248.15:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
三沙卫视,http://1.69.64.25:9902/tsfile/live/0134_1.m3u8?key=txiptv&playlive=1&authid=0
三沙卫视,http://1.69.2.100:9902/tsfile/live/0134_1.m3u8?key=txiptv&playlive=1&authid=0
三沙卫视,http://1.69.64.91:9902/tsfile/live/0134_1.m3u8?key=txiptv&playlive=1&authid=0
三沙卫视,http://1.69.67.168:9902/tsfile/live/0134_1.m3u8?key=txiptv&playlive=1&authid=0
上海卫视,http://58.53.155.179:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
上海卫视,http://1.69.67.148:9902/tsfile/live/0108_1.m3u8?key=txiptv&playlive=1&authid=0
上海卫视,http://1.69.68.221:9902/tsfile/live/0108_1.m3u8?key=txiptv&playlive=1&authid=0
上海卫视,http://58.209.101.210:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
上海卫视,http://1.69.64.91:9902/tsfile/live/0108_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://1.192.248.15:9901/tsfile/live/1089_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://171.8.138.229:85/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://123.182.212.130:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://175.0.32.62:8081/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://1.192.12.41:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
